category_NOUN	1873	2748	1027
cater_VERB	1965	4990	2851
causes_NOUN	1997	328954	45929
centuries_NOUN	1881	35204	4203
century	1967	845961	27414
chaired_VERB	1975	5214	2775
ceremony	1972	66666	13158
chairmanship	1968	8733	3846
challenged	1992	111411	30959
challenged_VERB	2007	255617	70532
changed	1912	95023	12134
character	1960	354292	18740
characteristic	2008	667342	113029
chapters_NOUN	1996	265876	43186
child	1973	920636	27300
child_NOUN	1989	1307726	41695
children	1861	106171	3224
children_NOUN	1983	1827210	36751
church	1914	195416	8108
churches	1976	102913	12942
circumstances	2005	1003113	99019
circumference	1918	7397	2057
cites_VERB	1986	27666	10474
civil_ADJ	1836	37868	2294
citizen	1991	110934	22446
classes	2005	852829	84581
clones	2005	34506	5892
club	1966	58551	11450
coating	2002	74995	12796
coal	1983	225125	15093
combination_NOUN	1920	65145	9380
comes	1989	572256	53725
command	1995	605642	41887
commands_VERB	2008	77030	38492
common	2008	4040856	188309
communities_NOUN	1980	187428	19876
community	2008	2789780	132972
company	1988	976857	40250
competition	2005	678328	71640
completion	2003	233438	55324
complete	1978	541749	40709
complexity	2000	296017	47661
complex_NOUN	1961	33104	7885
compressed_VERB	2002	66884	20104
compression_NOUN	1997	125596	10977
conceived_VERB	1981	77804	20220
concerned_VERB	1988	519098	48349
concrete	1976	179103	22022
conditions_NOUN	1949	431741	13796
conduct_VERB	1991	94750	27303
confidence_NOUN	1965	151140	20869
confined_VERB	1993	136994	35907
confirmed_VERB	2006	386583	83544
congratulations_NOUN	2003	17606	11457
confused_VERB	2008	261357	97898
considered_VERB	1888	100433	6426
consents	1970	3742	1919
constant	2004	953889	103752
constitutes_VERB	1945	16037	4001
consumption	1959	82544	7404
contented	1883	12131	4007
contextual	1999	51519	11966
contest	1978	41820	12074
contract	1908	88955	6655
contradicts	2001	23948	13441
contrary_ADJ	2000	326402	57135
contrasted	1991	40276	17815
contributions_NOUN	2003	398282	61008
controlled_VERB	1909	24121	5908
controlled_VERB	2006	398911	80897
costs	1984	638579	29207
could_VERB	1997	8099856	81891
countries	2001	1742945	65565
countries	1974	695916	25074
courage_NOUN	1982	80416	18772
courtyards	1999	8944	3781
courtyards_NOUN	1993	6700	2792
crafts_NOUN	1981	18635	6147
crankcase_NOUN	2002	3484	492
crew	2007	360533	48149
criticism_NOUN	1922	60130	8423
culturally	1978	23677	7678
curious_ADJ	1936	42983	6844
custom_NOUN	1946	33343	6416
cytosolic_ADJ	1997	8289	928
quartets_NOUN	2002	5711	1537
made	1926	1166558	11472
main_ADJ	2008	2227634	172114
maintained	1928	63090	8677
made	2004	9177566	137146
make_VERB	1922	811658	14509
making_VERB	1924	209994	10642
male_ADJ	2004	861648	75982
man	1998	3608899	71737
man_NOUN	1890	733200	6670
manual_NOUN	1992	58370	14746
many	1881	570328	6780
many	1961	1815617	24998
many	1963	2095808	28825
